1546.  ,Maximum Number of Non-Overlapping Subarrays With Sum Equals Target, 48.6%, Med.
1588.  ,Sum of All Odd Length Subarrays, 83.7%, 
1589.  ,Maximum Sum Obtained of Any Permutation, 39.9%, Med.
1590.  ,Make Sum Divisible by P, 39.6%, Med.
1658.  ,Minimum Operations to Reduce X to Zero, 40.3%, Med.
1664.  ,Ways to Make a Fair Array, 65.2%, Med.
1674.  ,Minimum Moves to Make Array Complementary, 43.0%, Med.
1685.  ,Sum of Absolute Differences in a Sorted Array, 68.1%, Med.
1712.  ,Ways to Split Array Into Three Subarrays, 33.9%, Med.
1732.  ,Find the Highest Altitude, 83.8%, 
1737.  ,Change Minimum Characters to Satisfy One of Three Conditions, 37.5%, Med.
1738.  ,Find Kth Largest XOR Coordinate Value, 63.9%, Med.
1744.  ,Can You Eat Your Favorite Candy on Your Favorite Day?, 35.5%, Med.
1769.  ,Minimum Number of Operations to Move All Balls to Each Box, 90.1%, Med.
1829.  ,Maximum XOR for Each Query, 84.7%, Med.
1838.  ,Frequency of the Most Frequent Element, 44.5%, Med.
1854.  ,Maximum Population Year, 63.2%, 
1856.  ,Maximum Subarray Min-Product, 39.6%, Med.
1871.  ,Jump Game VII, 26.1%, Med.
1878.  ,Get Biggest Three Rhombus Sums in a Grid, 49.8%, Med.
1893.  ,Check if All the Integers in a Range Are Covered, 50.7%, 
1894.  ,Find the Student that Will Replace the Chalk, 53.2%, Med.
1895.  ,Largest Magic Square, 53.2%, Med.
1915.  ,Number of Wonderful Substrings, 66.6%, Med.
1930.  ,Unique Length-3 Palindromic Subsequences, 73.8%, Med.
1943.  ,Describe the Painting, 51.4%, Med.
1983.  ,Widest Pair of Indices With Equal Range Sum, 53.7%, Med.
1991.  ,Find the Middle Index in Array, 68.7%, 
2017.  ,Grid Game, 60.9%, Med.
2021.  ,Brightest Position on Street, 60.6%, Med.
2024.  ,Maximize the Confusion of an Exam, 69.4%, Med.
2055.  ,Plates Between Candles, 47.1%, Med.
2083.  ,Substrings That Begin and End With the Same Letter, 74.4%, Med.
2100.  ,Find Good Days to Rob the Bank, 51.0%, Med.
2121.  ,Intervals Between Identical Elements, 45.4%, Med.
2145.  ,Count the Hidden Sequences, 56.8%, Med.
2171.  ,Removing Minimum Number of Magic Beans, 44.1%, Med.
2207.  ,Maximize Number of Subsequences in a String, 35.6%, Med.
2219.  ,Maximum Sum Score of Array, 62.7%, Med.
2222.  ,Number of Ways to Select Buildings, 50.6%, Med.
2237.  ,Count Positions on Street With Required Brightness, 62.7%, Med.
2245.  ,Maximum Trailing Zeros in a Cornered Path, 37.2%, Med.
2256.  ,Minimum Average Difference, 43.7%, Med.
2270.  ,Number of Ways to Split Array, 56.0%, Med.
2271.  ,Maximum White Tiles Covered by a Carpet, 35.4%, Med.
2381.  ,Shifting Letters II, 53.5%, Med.
2389.  ,Longest Subsequence With Limited Sum, 73.3%, 
2391.  ,Minimum Amount of Time to Collect Garbage, 85.1%, Med.
2406.  ,Divide Intervals Into Minimum Number of Groups, 63.6%, Med.
2420.  ,Find All Good Indices, 40.4%, Med.
2428.  ,Maximum Sum of an Hourglass, 76.2%, Med.
2438.  ,Range Product Queries of Powers, 61.4%, Med.
2439.  ,Minimize Maximum of Array, 46.5%, Med.
2483.  ,Minimum Penalty for a Shop, 67.8%, Med.
2485.  ,Find the Pivot Integer, 83.9%, 
2489.  ,Number of Substrings With Fixed Ratio, 57.1%, Med.
2505.  ,Bitwise OR of All Subsequence Sums, 64.3%, Med.
2536.  ,Increment Submatrices by One, 73.9%, Med.
2559.  ,Count Vowel Strings in Ranges, 67.8%, Med.
2574.  ,Left and Right Sum Differences, 87.7%, 
2587.  ,Rearrange Array to Maximize Prefix Score, 42.2%, Med.
2588.  ,Count the Number of Beautiful Subarrays, 52.9%, Med.
2602.  ,Minimum Operations to Make All Array Elements Equal, 37.6%, Med.
2615.  ,Sum of Distances, 32.1%, Med.
2640.  ,Find the Score of All Prefixes of an Array, 72.5%, Med.
2680.  ,Maximum OR, 42.3%, Med.
2731.  ,Movement of Robots, 27.5%, Med.
2772.  ,Apply Operations to Make All Array Elements Equal to Zero, 33.0%, Med.
2838.  ,Maximum Coins Heroes Can Collect, 68.7%, Med.
2845.  ,Count of Interesting Subarrays, 58.1%, Med.
2848.  ,Points That Intersect With Cars, 73.2%, 
2875.  ,Minimum Size Subarray in Infinite Array, 31.7%, Med.
2906.  ,Construct Product Matrix, 31.8%, Med.
2947.  ,Count Beautiful Substrings I, 60.6%, Med.
2950.  ,Number of Divisible Substrings, 74.0%, Med.
2955.  ,Number of Same-End Substrings, 61.5%, Med.
2971.  ,Find Polygon With the Largest Perimeter, 65.5%, Med.
3015.  ,Count the Number of Houses at a Certain Distance I, 56.7%, Med.
3026.  ,Maximum Good Subarray Sum, 21.0%, Med.
3028.  ,Ant on the Boundary, 74.1%, 
3070.  ,Count Submatrices with Top-Left Element and Sum Less Than k, 58.0%, Med.
3096.  ,Minimum Levels to Gain More Points, 39.8%, Med.
3129.  ,Find All Possible Stable Binary Arrays I, 26.8%, Med.
3147.  ,Taking Maximum Energy From the Mystic Dungeon, 60.9%, Med.
3152.  ,Special Array II, 45.7%, Med.
3179.  ,Find the N-th Value After K Seconds, 53.7%, Med.
3191.  ,Minimum Operations to Make Binary Array Elements Equal to One I, 80.4%, Med.
3212.  ,Count Submatrices With Equal Frequency of X and Y, 51.3%, Med.
3224.  ,Minimum Array Changes to Make Differences Equal, 24.1%, Med.
3346.  ,Maximum Frequency of an Element After Performing Operations I, 40.0%, Med.
3354.  ,Make Array Elements Equal to Zero, 68.3%, 
3355.  ,Zero Array Transformation I, 54.4%, Med.
3356.  ,Zero Array Transformation II, 43.6%, Med.
3361.  ,Shift Distance Between Two Strings, 53.2%, Med.
3362.  ,Zero Array Transformation III, 54.9%, Med.
3364.  ,Minimum Positive Sum Subarray, 44.6%, 
3381.  ,Maximum Subarray Sum With Length Divisible by K, 49.5%, Med.
3413.  ,Maximum Coins From K Consecutive Bags, 24.1%, Med.
3427.  ,Sum of Variable Length Subarrays, 85.4%, 
3432.  ,Count Partitions with Even Sum Difference, 74.4%, 
3434.  ,Maximum Frequency After Subarray Operation, 30.2%, Med.
3473.  ,Sum of K Subarrays With Length at Least M, 25.6%, Med.
3494.  ,Find the Minimum Amount of Time to Brew Potions, 62.7%, Med.
3511.  ,Make a Positive Array, 35.4%, Med.
3540.  ,Minimum Time to Visit All Houses, 69.1%, Med.
3546.  ,Equal Sum Grid Partition I, 42.1%, Med.
3578.  ,Count Partitions With Max-Min Difference at Most K, 37.3%, Med.
3599.  ,Partition Array to Minimize XOR, 40.7%, Med.
3628.  ,Maximum Number of Subsequences After One Inserting, 28.4%, Med.
3652.  ,Best Time to Buy and Sell Stock using Strategy, 47.5%, Med.
3654.  ,Minimum Sum After Divisible Sum Deletions, 42.3%, Med.
3656.  ,Determine if a Simple Graph Exists, 47.2%, Med.
3694.  ,Distinct Points Reachable After Substring Removal, 53.2%, Med.
3698.  ,Split Array With Minimum Difference, 29.4%, Med.
3707.  ,Equal Score Substrings, 56.6%, 
3709.  ,Design Exam Scores Tracker, 43.4%, Med.
3714.  ,Longest Balanced Substring II, 19.0%, Med.
3719.  ,Longest Balanced Subarray I, 52.2%, Med.
3728.  ,Stable Subarrays With Equal Boundary and Interior Sum, 25.3%, Med.
3737.  ,Count Subarrays With Majority Element I, 64.7%, Med.
3755.  ,Find Maximum Balanced XOR Subarray Length, 50.0%, Med.
3756.  ,Concatenate Non-Zero Digits and Multiply by Sum II, 22.7%, Med.
